crime_id,original_crime_type_name,report_date,call_date,offense_date,call_time,call_date_time,disposition,address,city,state,agency_id,address_type,common_location
183653763,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:57,2018-12-31T23:57:00.000,ADM,Geary Bl/divisadero St,San Francisco,CA,1,Intersection,
183653756,Traf Violation Cite,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:54,2018-12-31T23:54:00.000,CIT,100 Blk Howard St,San Francisco,CA,1,Geo-Override,
183653746,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:49,2018-12-31T23:49:00.000,HAN,3300 Block Of 20th Av,San Francisco,CA,1,Common Location,"Stonestown Galleria, Sf"
183653745,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:47,2018-12-31T23:47:00.000,PAS,1900 Block Of 18th Av,San Francisco,CA,1,Premise Address,
183653737,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:46,2018-12-31T23:46:00.000,CIT,Sansome St/chestnut St,San Francisco,CA,1,Intersection,
183653719,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:38,2018-12-31T23:38:00.000,ND,Haight St/fillmore St,San Francisco,CA,1,Intersection,
183653722,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:38,2018-12-31T23:38:00.000,CIT,Geary Bl/parker Av,San Francisco,CA,1,Intersection,
183653711,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:36,2018-12-31T23:36:00.000,HAN,Battery St/union St,San Francisco,CA,1,Intersection,
183653706,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:34,2018-12-31T23:34:00.000,Not recorded,1500 Block Of Haight St,San Francisco,CA,1,Common Location,"Haight St Corridor, Sf"
183653717,Fight No Weapon,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:33,2018-12-31T23:33:00.000,GOA,5th St/minna St,San Francisco,CA,1,Intersection,
183653702,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:33,2018-12-31T23:33:00.000,HAN,Front St/green St,San Francisco,CA,1,Intersection,
183653703,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:33,2018-12-31T23:33:00.000,HAN,3100 Block Of Mission St,San Francisco,CA,1,Common Location,Roccapulco
183653700,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:33,2018-12-31T23:33:00.000,HAN,3100 Block Of Mission St,San Francisco,CA,1,Common Location,"Roccapulco, Sf"
183653693,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:30,2018-12-31T23:30:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653696,Att,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:30,2018-12-31T23:30:00.000,REP,4000 Block Of 18th St,San Francisco,CA,1,Premise Address,
183653688,Auto Boost / Strip,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:29,2018-12-31T23:29:00.000,REP,Bryant St/4th St,San Francisco,CA,1,Intersection,
183653689,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:29,2018-12-31T23:29:00.000,HAN,Geary St/jones St,San Francisco,CA,1,Intersection,
183653687,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:28,2018-12-31T23:28:00.000,ADV,5th St/jessie St,San Francisco,CA,1,Intersection,
183653674,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:25,2018-12-31T23:25:00.000,HAN,600 Block Of Dolores St,San Francisco,CA,1,Common Location,Mission Dolores Park
183653667,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:24,2018-12-31T23:24:00.000,ADV,1600 Block Of Haight St,San Francisco,CA,1,Premise Address,
183653672,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:24,2018-12-31T23:24:00.000,PAS,100 Block Of Columbia Square St,San Francisco,CA,1,Premise Address,
183653664,Assault / Battery,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:21,2018-12-31T23:21:00.000,ABA,500 Block Of Jackson St,San Francisco,CA,1,Premise Address,
183653661,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:21,2018-12-31T23:21:00.000,CAN,4000 Block Of 18th St,San Francisco,CA,1,Premise Address,
183653655,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:21,2018-12-31T23:21:00.000,HAN,Mission St/precita Av,San Francisco,CA,1,Intersection,
183653665,Drunk Driver,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:20,2018-12-31T23:20:00.000,ADV,Balboa St/41st Av,San Francisco,CA,1,Intersection,
183653649,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:19,2018-12-31T23:19:00.000,Not recorded,0 Block Of Telegraph Hill Bl,San Francisco,CA,1,Common Location,Coit Tower
183653652,Poss,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:19,2018-12-31T23:19:00.000,UTL,Fell St/divisadero St,San Francisco,CA,1,Intersection,
183653646,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:18,2018-12-31T23:18:00.000,HAN,300 Blk Haight St,San Francisco,CA,1,Geo-Override,
183653642,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:16,2018-12-31T23:16:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653645,Strongarm Robbery,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:15,2018-12-31T23:15:00.000,REP,1000 Block Of Howard St,San Francisco,CA,1,Premise Address,
183653634,Suspicious Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:12,2018-12-31T23:12:00.000,HAN,Mission St/1st St,San Francisco,CA,1,Intersection,
183653638,Assault / Battery,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:12,2018-12-31T23:12:00.000,CAN,700 Block Of Harrison St,San Francisco,CA,1,Common Location,"City Nights Nightclub, Sf"
183653626,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:11,2018-12-31T23:11:00.000,HAN,The Embarcadero Nor/chestnut St,San Francisco,CA,1,Intersection,
183653625,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:11,2018-12-31T23:11:00.000,HAN,Battery St/greenwich St,San Francisco,CA,1,Intersection,
183653628,Noise Nuisance,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:10,2018-12-31T23:10:00.000,HAN,Belvedere St/waller St,San Francisco,CA,1,Intersection,
183653620,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:09,2018-12-31T23:09:00.000,Not recorded,Clement St Corridor,,CA,1,Geo-Override,
183653619,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:08,2018-12-31T23:08:00.000,HAN,1500 Block Of Sloat Bl,San Francisco,CA,1,Common Location,"Lakeshore Pz, Sf"
183653613,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:07,2018-12-31T23:07:00.000,HAN,1300 Blk 11th Av,San Francisco,CA,1,Geo-Override,
183653611,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:06,2018-12-31T23:06:00.000,HAN,600 Block Of Buena Vista Av W,San Francisco,CA,1,Common Location,"Buena Vista Park, Sf"
183653612,H&r Injury Accident,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:06,2018-12-31T23:06:00.000,REP,Van Ness Av/turk St,San Francisco,CA,1,Intersection,
183653608,Fire,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:05,2018-12-31T23:05:00.000,HAN,17th St/south Van Ness Av,San Francisco,CA,1,Intersection,
183653606,Traf Violation Tow,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:04,2018-12-31T23:04:00.000,HAN,500 Block Of Waller St,San Francisco,CA,1,Premise Address,
183653605,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:03,2018-12-31T23:03:00.000,ND,Annie St/mission St,San Francisco,CA,1,Intersection,
183653601,Fireworks,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:01,2018-12-31T23:01:00.000,ADV,800 Block Of Moscow St,San Francisco,CA,1,Common Location,"Crocker Amazon Plgd, Sf"
183653595,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:01,2018-12-31T23:01:00.000,Not recorded,3rd Av/geary Bl,San Francisco,CA,1,Intersection,
183653598,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,23:00,2018-12-31T23:00:00.000,PAS,1100 Block Of Chestnut St,San Francisco,CA,1,Premise Address,
183653588,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:58,2018-12-31T22:58:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653594,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:58,2018-12-31T22:58:00.000,ADV,Ocean Av/plymouth Av,San Francisco,CA,1,Intersection,
183653589,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:58,2018-12-31T22:58:00.000,ADV,Grant Av/pacific Av,San Francisco,CA,1,Intersection,
183653585,Fight No Weapon,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:57,2018-12-31T22:57:00.000,ND,200 Block Of Spear St,San Francisco,CA,1,Premise Address,
183653579,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:56,2018-12-31T22:56:00.000,Not recorded,700 Block Of Great Hy,San Francisco,CA,1,Common Location,"Ocean Beach Parking Lot - Balboa, Sf"
183653578,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:56,2018-12-31T22:56:00.000,CIT,Sansome St/lombard St,San Francisco,CA,1,Intersection,
183653586,Assault / Battery,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:56,2018-12-31T22:56:00.000,REP,Stockton St/post St,San Francisco,CA,1,Intersection,
183653591,Jo,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:55,2018-12-31T22:55:00.000,REP,1200 Block Of Market St #662,San Francisco,CA,1,Common Location,"Hotel Whitcombe #662, Sf"
183653567,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:54,2018-12-31T22:54:00.000,HAN,1500 Block Of Haight St,San Francisco,CA,1,Common Location,"Haight St Corridor, Sf"
183653569,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:54,2018-12-31T22:54:00.000,HAN,100 Block Of Christmas Tree Point Rd,San Francisco,CA,1,Common Location,Twin Peaks Viewpoint
183653582,Party,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:54,2018-12-31T22:54:00.000,UTL,700 Block Of Ashbury St,San Francisco,CA,1,Premise Address,
183653580,Fight No Weapon,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:54,2018-12-31T22:54:00.000,CAN,900 Block Of Ellis St,San Francisco,CA,1,Premise Address,
183653566,Intoxicated Person,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:53,2018-12-31T22:53:00.000,GOA,21st St/dolores St,San Francisco,CA,1,Intersection,
183653564,Auto Boost / Strip,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:53,2018-12-31T22:53:00.000,REP,Bay St/taylor St,San Francisco,CA,1,Intersection,
183653560,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:51,2018-12-31T22:51:00.000,HAN,1800 Block Of Sunnydale Av,San Francisco,CA,1,Premise Address,
183653584,518,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:51,2018-12-31T22:51:00.000,REP,Front St/california St,San Francisco,CA,1,Intersection,
183653557,Noise Nuisance,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:50,2018-12-31T22:50:00.000,ADV,1600 Block Of 27th Av,San Francisco,CA,1,Premise Address,
183653556,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:50,2018-12-31T22:50:00.000,CIT,Golden Gate Av/leavenworth St,San Francisco,CA,1,Intersection,
183653575,Vict,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:50,2018-12-31T22:50:00.000,GOA,900 Block Of Columbus Av,San Francisco,CA,1,Premise Address,
183653554,Suspicious Vehicle,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:50,2018-12-31T22:50:00.000,CIT,Clement St/6th Av,San Francisco,CA,1,Intersection,
183653568,601,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:50,2018-12-31T22:50:00.000,ND,Harrison St/the Embarcadero Sou,San Francisco,CA,1,Intersection,
183653549,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:48,2018-12-31T22:48:00.000,HAN,1500 Block Of Haight St,San Francisco,CA,1,Common Location,Haight St Corridor
183653548,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:48,2018-12-31T22:48:00.000,HAN,Beach St/leavenworth St,San Francisco,CA,1,Intersection,
183653545,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:47,2018-12-31T22:47:00.000,Not recorded,300 Block Of Geary St,San Francisco,CA,1,Common Location,"Union Square, Sf"
183653543,Person W/gun,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:46,2018-12-31T22:46:00.000,UTL,3100 Block Of 16th St,San Francisco,CA,1,Premise Address,
183653550,601,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:46,2018-12-31T22:46:00.000,GOA,100 Block Of Powell St,San Francisco,CA,1,Premise Address,
183653546,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:45,2018-12-31T22:45:00.000,PAS,2200 Block Of Santiago St,San Francisco,CA,1,Premise Address,
183653539,Noise Nuisance,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:45,2018-12-31T22:45:00.000,CAN,3600 Block Of 20th St,San Francisco,CA,1,Premise Address,
183653531,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:44,2018-12-31T22:44:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653537,22500e,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:43,2018-12-31T22:43:00.000,HAN,1100 Block Of Shotwell St,San Francisco,CA,1,Premise Address,
183653523,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:41,2018-12-31T22:41:00.000,Not recorded,Market St/main St,San Francisco,CA,1,Intersection,
183653528,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:41,2018-12-31T22:41:00.000,PAS,100 Block Of Mercedes Wy,San Francisco,CA,1,Premise Address,
183653515,22500f,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:39,2018-12-31T22:39:00.000,GOA,700 Block Of Naples St,San Francisco,CA,1,Premise Address,
183653514,Audible Alarm,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:37,2018-12-31T22:37:00.000,PAS,900 Block Of Oak St,San Francisco,CA,1,Premise Address,
183653513,Well Being Check,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:37,2018-12-31T22:37:00.000,UTL,Columbus Av/bay St,San Francisco,CA,1,Intersection,
183653508,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:35,2018-12-31T22:35:00.000,HAN,100 Block Of 34th Av,San Francisco,CA,1,Common Location,Legion Of Honor
183653505,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:34,2018-12-31T22:34:00.000,ADV,4800 Block Of 17th St,San Francisco,CA,1,Premise Address,
183653503,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:33,2018-12-31T22:33:00.000,Not recorded,400 Block Of Clement St,San Francisco,CA,1,Premise Address,
183653501,Auto Boost / Strip,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:32,2018-12-31T22:32:00.000,REP,Post St/webster St,San Francisco,CA,1,Intersection,
183653495,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,CIT,The Embarcadero Nor/green St,San Francisco,CA,1,Intersection,
183653493,Veh Accident,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,HAN,0 Block Of The Embarcadero Sou,San Francisco,CA,1,Common Location,"Ferry Bldg, Sf"
183653497,Jo,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:30,2018-12-31T22:30:00.000,UTL,Sacramento St/leavenworth St,San Francisco,CA,1,Intersection,
183653491,Traffic Stop,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,CIT,Funston Av/cabrillo St,San Francisco,CA,1,Intersection,
183653488,Meet W/officer,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,HAN,Mission St/the Embarcadero Sou,San Francisco,CA,1,Intersection,
183653500,Caser,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,REP,600 Blk Minna St,San Francisco,CA,1,Geo-Override,
183653492,Traf Violation Tow,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:29,2018-12-31T22:29:00.000,Not recorded,549 Flood Ave,,CA,1,Geo-Override,
183653486,Passing Call,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:28,2018-12-31T22:28:00.000,HAN,Broadway/the Embarcadero Nor,San Francisco,CA,1,Intersection,
183653499,Petty Theft,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,2018-12-31T00:00:00.000,22:27,2018-12-31T22:27:00.000,GOA,100 Block Of Powell St,San Francisco,CA,1,Premise Address,
